year,location,predEggOrder,length,breadth,volume,shapeIndex,geomMeanDiam,sphericity,surfArea
1873,Inaccessible,A,61.3,48.0,71.6,78.30,52.08,84.95,8520.11
1873,Inaccessible,A,60.5,49.8,76.1,82.31,53.14,87.83,8870.73
1873,Inaccessible,A,62.5,49.2,76.7,78.72,53.28,85.26,8919.83
1873,Inaccessible,A,63.8,47.6,73.3,74.61,52.48,82.26,8653.12
1873,Inaccessible,A,63.4,49.9,80.0,78.71,54.05,85.25,9176.49
1873,Inaccessible,A,64.6,49.5,80.3,76.63,54.09,83.74,9192.74
1873,Inaccessible,U,64.8,50.6,84.1,78.09,54.95,84.80,9485.65
1873,Inaccessible,B,68.4,53.0,97.4,77.49,57.70,84.36,10460.56
1873,Inaccessible,B,69.3,55.0,106.3,79.37,59.40,85.72,11086.36
1873,Inaccessible,B,70.9,55.7,111.5,78.56,60.37,85.14,11447.77
1873,Inaccessible,B,71.6,55.0,109.8,76.82,60.05,83.88,11330.32
1888,Tristan,B,66.7,53.3,95.9,79.79,57.41,86.02,10355.40
1919,Tristan,U,64.3,50.2,82.2,78.07,54.52,84.79,9337.46
1921,Tristan,B,69.4,55.3,107.6,79.68,59.65,85.95,11177.80
1922,Inaccessible,A,57.1,45.7,60.5,80.04,49.22,86.20,7611.36
1922,Inaccessible,A,57.3,46.7,63.4,81.50,50.00,87.25,7852.52
1922,Inaccessible,B,73.1,55.6,114.6,76.06,60.91,83.32,11655.42
1924,Tristan,A,59.5,47.2,67.1,79.30,50.96,85.68,8158.65
1924,Tristan,B,61.8,49.8,77.8,80.57,53.53,86.59,9001.70
1936,Nightingale,B,71.5,52.6,100.3,73.57,58.27,81.49,10666.00
1938,Nightingale,ODDBALL,40.3,33.2,22.5,82.38,35.42,87.88,3940.37
1938,Nightingale,ODDBALL,42.4,36.1,28.0,85.14,38.09,89.83,4557.61
1938,Nightingale,A,47.7,39.8,38.3,83.44,42.28,88.63,5614.87
1938,Nightingale,A,53.7,43.6,51.8,81.19,46.74,87.03,6861.96
1938,Nightingale,A,56.3,41.4,48.9,73.53,45.87,81.47,6609.31
1938,Nightingale,A,58.2,45.0,59.8,77.32,49.03,84.24,7551.77
1938,Nightingale,A,61.0,44.2,60.4,72.46,49.21,80.67,7607.92
1938,Nightingale,A,61.7,47.8,71.5,77.47,52.05,84.35,8509.63
1938,Nightingale,A,61.4,49.0,74.7,79.80,52.83,86.04,8767.12
1938,Nightingale,A,62.0,49.4,76.7,79.68,53.29,85.95,8920.32
1938,Nightingale,A,61.0,52.9,86.5,86.72,55.47,90.94,9667.42
1938,Nightingale,U,64.5,51.3,86.1,79.53,55.37,85.84,9631.18
1938,Nightingale,U,65.7,50.8,86.0,77.32,55.35,84.24,9623.77
1938,Nightingale,B,65.2,52.4,90.8,80.37,56.36,86.44,9979.07
1938,Tristan,B,66.4,51.9,90.7,78.16,56.34,84.85,9972.83
1938,Nightingale,B,65.2,53.7,95.3,82.36,57.29,87.87,10310.52
1938,Nightingale,B,65.9,52.8,93.1,80.12,56.85,86.26,10152.79
1938,Nightingale,B,67.2,51.9,91.8,77.23,56.57,84.18,10052.77
1938,Nightingale,B,66.2,53.5,96.1,80.82,57.44,86.76,10363.99
1938,Tristan,B,67.3,53.2,96.6,79.05,57.54,85.49,10400.21
1938,Nightingale,B,69.6,55.4,108.3,79.60,59.78,85.89,11226.28
1938,Nightingale,B,72.6,51.0,95.7,70.25,57.37,79.02,10340.33
1938,Nightingale,B,69.5,56.5,112.5,81.29,60.54,87.10,11513.42
1945,Nightingale,ODDBALL,31.0,26.5,11.0,85.48,27.92,90.07,2449.36
1945,Nightingale,ODDBALL,39.0,32.0,20.2,82.05,34.18,87.64,3670.51
1945,Nightingale,ODDBALL,40.0,36.0,26.3,90.00,37.29,93.22,4367.77
1945,Nightingale,A,50.2,38.0,36.8,75.70,41.70,83.06,5461.73
1945,Nightingale,A,58.0,45.3,60.3,78.10,49.19,84.81,7601.50
1945,Nightingale,B,71.5,53.0,101.8,74.13,58.56,81.91,10774.28
1945,Nightingale,B,70.5,54.5,106.2,77.30,59.38,84.23,11078.25
1945,Nightingale,B,72.0,53.0,102.5,73.61,58.70,81.53,10824.45
1950,Tristan,A,65.9,48.5,78.6,73.60,53.72,81.52,9065.58
1950,Tristan,A,66.9,53.0,95.3,79.22,57.28,85.62,10307.07
1950,Tristan,B,61.0,43.3,58.0,70.98,48.54,79.57,7402.08
1950,Tristan,B,65.6,53.7,95.9,81.86,57.41,87.51,10352.65
1950,Tristan,A,58.7,44.8,59.7,76.32,49.02,83.51,7549.98
1950,Tristan,A,59.0,49.5,73.3,83.90,52.48,88.95,8653.49
1950,Nightingale,ODDBALL,48.0,35.8,31.2,74.58,39.48,82.24,4895.77
1950,Nightingale,A,60.3,47.5,69.0,78.77,51.43,85.29,8310.35
1950,Nightingale,B,71.0,55.8,112.1,78.59,60.47,85.16,11485.97
1950,Nightingale,B,72.3,55.4,112.5,76.63,60.54,83.74,11514.77
1951,Nightingale,ODDBALL,37.0,29.1,15.9,78.65,31.53,85.20,3122.30
1951,Nightingale,ODDBALL,35.2,33.5,20.0,95.17,34.06,96.75,3643.94
1951,Nightingale,ODDBALL,41.0,34.0,24.0,82.93,36.19,88.27,4114.44
1951,Nightingale,ODDBALL,46.4,36.5,31.3,78.66,39.54,85.22,4911.56
1951,Nightingale,ODDBALL,46.5,39.5,36.8,84.95,41.71,89.69,5464.89
1951,Nightingale,A,57.6,46.0,61.8,79.86,49.58,86.08,7722.81
1951,Nightingale,A,57.4,46.8,63.7,81.53,50.10,87.27,7884.10
1951,Nightingale,A,60.5,47.3,68.6,78.18,51.34,84.87,8282.00
1951,Nightingale,A,62.4,45.6,65.8,73.08,50.63,81.13,8051.80
1951,Nightingale,A,61.1,48.5,72.9,79.38,52.38,85.73,8619.85
1951,Nightingale,A,59.9,50.7,78.1,84.64,53.60,89.48,9024.95
1951,Nightingale,A,61.2,49.2,75.1,80.39,52.91,86.46,8795.71
1951,Nightingale,A,66.5,42.4,60.6,63.76,49.26,74.08,7624.04
1951,Nightingale,B,69.1,54.4,103.7,78.73,58.91,85.26,10904.37
1972,Nightingale,A,58.3,48.0,68.1,82.33,51.21,87.84,8239.81
1972,Nightingale,B,68.4,51.0,90.2,74.56,56.24,82.23,9937.58
1972,Nightingale,B,68.9,54.6,104.1,79.25,59.00,85.63,10936.70
1973,Nightingale,A,58.2,44.3,57.9,76.12,48.52,83.37,7395.54
1973,Tristan,A,60.6,48.2,71.4,79.54,52.02,85.85,8502.13
1973,Tristan,A,61.4,48.8,74.1,79.48,52.68,85.80,8719.44
1973,Nightingale,A,63.5,46.6,69.9,73.39,51.66,81.36,8385.20
1973,Tristan,A,63.8,47.8,73.9,74.92,52.63,82.49,8701.63
1973,Tristan,A,64.6,47.0,72.3,72.76,52.26,80.89,8578.97
1973,Tristan,B,70.2,55.2,108.4,78.63,59.81,85.19,11236.39
1973,Nightingale,B,74.6,58.3,128.6,78.15,63.29,84.84,12585.40
1979,Gough,A,56.1,50.8,73.4,90.46,52.50,93.53,8658.51
1979,Gough,A,57.8,49.1,70.7,84.99,51.87,89.73,8450.93
1979,Gough,A,59.3,49.6,73.9,83.68,52.63,88.80,8703.45
1979,Gough,A,58.8,50.6,76.3,86.01,53.18,90.44,8884.70
1979,Gough,A,59.9,49.4,74.2,82.53,52.70,87.98,8723.65
1979,Gough,A,60.8,49.2,74.8,80.94,52.84,86.85,8772.37
1979,Gough,A,60.3,50.4,77.6,83.52,53.50,88.68,8992.50
1979,Gough,A,61.9,48.2,73.0,77.92,52.41,84.67,8628.53
1979,Gough,A,62.4,48.7,74.9,78.02,52.87,84.75,8781.85
1979,Gough,A,64.0,46.7,70.8,73.04,51.88,81.10,8456.68
1979,Gough,A,62.3,50.1,79.2,80.39,53.87,86.45,9115.69
1979,Gough,A,61.9,51.4,82.9,82.98,54.69,88.30,9396.65
1979,Gough,A,62.7,52.4,87.1,83.55,55.59,88.71,9709.64
1979,Gough,A,64.7,49.3,79.8,76.21,54.00,83.43,9159.61
1979,Gough,A,65.1,48.9,78.9,75.12,53.78,82.63,9087.27
1979,Gough,A,65.1,49.9,82.1,76.57,54.50,83.70,9331.32
1979,Gough,A,65.1,50.4,83.9,77.39,54.89,84.29,9466.86
1979,Gough,A,65.9,49.7,82.6,75.48,54.61,82.90,9368.71
1979,Gough,A,66.0,49.8,83.0,75.52,54.70,82.93,9400.31
1979,Gough,A,68.9,46.1,74.1,66.84,52.68,76.45,8717.96
1979,Gough,A,67.8,48.6,81.2,71.71,54.31,80.11,9267.94
1979,Gough,A,66.9,50.4,86.1,75.23,55.38,82.72,9635.08
1979,Gough,A,67.8,49.4,83.8,72.76,54.88,80.89,9461.82
1979,Gough,A,70.3,46.8,78.1,66.59,53.61,76.26,9028.68
1979,Gough,A,69.4,48.8,83.7,70.23,54.86,79.01,9455.62
1979,Gough,A,69.2,49.3,85.3,71.21,55.21,79.74,9576.66
1979,Gough,A,72.2,46.4,79.0,64.32,53.80,74.51,9093.60
1979,Gough,A,70.5,50.8,92.4,72.05,56.70,80.37,10099.21
1979,Gough,A,71.1,51.7,96.4,72.75,57.50,80.89,10386.06
1979,Gough,A,74.8,51.0,98.4,68.17,57.90,77.45,10532.29
1979,Gough,B,70.7,52.7,99.8,74.56,58.16,82.23,10627.23
1979,Gough,B,69.2,56.4,111.6,81.55,60.38,87.29,11453.61
1979,Gough,B,69.8,55.6,109.5,79.73,59.99,85.98,11306.37
1979,Gough,B,70.9,54.7,107.5,77.20,59.63,84.15,11170.89
1979,Gough,B,72.1,53.6,104.8,74.34,59.13,82.06,10985.37
1979,Gough,B,71.9,54.0,106.3,75.06,59.41,82.59,11089.58
1979,Gough,B,70.5,56.3,113.2,79.74,60.67,85.99,11562.36
1979,Gough,B,72.8,53.2,104.5,73.11,59.06,81.16,10959.38
1979,Gough,B,71.1,55.7,112.0,78.43,60.45,85.05,11478.90
1979,Gough,B,73.0,53.3,105.3,73.08,59.22,81.14,11016.92
1979,Gough,B,71.5,55.7,112.5,77.84,60.54,84.62,11515.39
1979,Gough,B,73.6,53.8,108.0,73.05,59.72,81.11,11205.96
1979,Gough,B,72.2,56.0,114.8,77.49,60.95,84.36,11668.88
1979,Gough,B,72.7,55.6,114.1,76.53,60.83,83.67,11626.13
1979,Gough,B,73.5,54.7,111.5,74.36,60.36,82.07,11445.46
1979,Gough,B,72.7,56.1,116.1,77.27,61.18,84.21,11757.96
1979,Gough,B,73.8,54.7,111.9,74.12,60.43,81.90,11473.21
1979,Gough,B,72.8,56.7,118.6,77.91,61.61,84.67,11926.55
1979,Gough,B,73.1,56.2,117.1,76.90,61.36,83.93,11826.72
1979,Gough,B,72.8,57.2,120.9,78.64,62.01,85.20,12078.70
1979,Gough,B,73.3,56.6,118.8,77.20,61.65,84.16,11938.73
1979,Gough,B,75.1,53.8,110.3,71.64,60.14,80.06,11363.97
1979,Gough,B,73.4,56.6,119.3,77.19,61.74,84.15,11976.98
1979,Gough,B,73.2,57.0,120.5,77.76,61.94,84.56,12052.55
1979,Gough,B,75.2,54.4,112.9,72.31,60.60,80.56,11538.54
1979,Gough,B,75.0,55.2,115.9,73.58,61.14,81.50,11745.49
1979,Gough,B,75.4,55.0,115.7,73.02,61.10,81.09,11729.91
1979,Gough,B,73.8,58.6,128.5,79.36,63.29,85.72,12585.02
1979,Gough,B,76.3,57.1,126.2,74.90,62.91,82.47,12433.80
1979,Gough,B,78.2,55.0,120.1,70.36,61.88,79.10,12029.50
1999,Nightingale,A,46.8,53.1,66.9,113.46,50.91,108.78,8142.79
1999,Nightingale,A,56.7,42.5,51.9,74.96,46.79,82.52,6876.86
1999,Nightingale,A,54.0,47.9,62.8,88.70,49.85,92.32,7807.76
1999,Nightingale,A,56.7,45.2,58.7,79.72,48.75,85.97,7465.46
1999,Nightingale,A,57.6,44.5,57.8,77.26,48.50,84.20,7388.87
1999,Nightingale,A,57.9,44.3,57.6,76.51,48.44,83.65,7370.11
1999,Nightingale,A,58.4,44.4,58.4,76.03,48.65,83.30,7434.80
1999,Nightingale,A,58.3,44.8,59.3,76.84,48.91,83.90,7515.65
1999,Nightingale,A,58.6,44.8,59.6,76.45,48.99,83.61,7541.41
1999,Nightingale,A,58.9,44.9,60.2,76.23,49.15,83.45,7589.65
1999,Nightingale,A,59.2,44.5,59.4,75.17,48.94,82.67,7525.08
1999,Nightingale,A,57.1,47.7,65.9,83.54,50.65,88.70,8058.70
1999,Nightingale,A,58.4,46.0,62.7,78.77,49.81,85.29,7794.15
1999,Nightingale,A,57.7,47.1,64.9,81.63,50.40,87.34,7979.24
1999,Nightingale,A,59.5,44.6,60.0,74.96,49.10,82.52,7573.11
1999,Nightingale,A,59.7,45.7,63.2,76.55,49.96,83.68,7840.69
1999,Nightingale,A,59.9,45.7,63.4,76.29,50.01,83.49,7858.19
1999,Nightingale,A,59.2,46.8,65.7,79.05,50.61,85.50,8048.08
1999,Nightingale,A,60.1,45.5,63.1,75.71,49.92,83.07,7829.75
1999,Nightingale,A,60.2,45.7,63.7,75.91,50.10,83.22,7884.41
1999,Nightingale,A,60.9,45.2,63.1,74.22,49.92,81.97,7829.72
1999,Nightingale,A,60.3,46.3,65.5,76.78,50.56,83.85,8031.61
1999,Nightingale,A,60.4,46.2,65.4,76.49,50.52,83.64,8017.34
1999,Nightingale,A,61.3,45.3,63.8,73.90,50.11,81.74,7887.17
1999,Nightingale,A,61.0,46.1,65.7,75.57,50.61,82.97,8047.07
1999,Nightingale,A,60.7,46.7,67.1,76.94,50.97,83.96,8160.15
1999,Nightingale,A,60.7,46.7,67.1,76.94,50.97,83.96,8160.15
1999,Nightingale,A,59.9,47.9,69.7,79.97,51.61,86.15,8366.59
1999,Nightingale,A,60.8,46.6,66.9,76.64,50.92,83.75,8145.80
1999,Nightingale,A,60.0,48.0,70.1,80.00,51.71,86.18,8399.22
1999,Nightingale,A,60.4,48.0,70.6,79.47,51.82,85.80,8436.51
1999,Nightingale,A,60.1,48.6,72.0,80.87,52.17,86.80,8548.98
1999,Nightingale,A,62.7,44.9,64.1,71.61,50.19,80.04,7912.68
1999,Nightingale,A,61.7,46.5,67.6,75.36,51.10,82.82,8202.46
1999,Nightingale,A,61.0,47.8,70.7,78.36,51.85,85.00,8445.14
1999,Nightingale,A,61.0,48.0,71.3,78.69,51.99,85.23,8492.29
1999,Nightingale,A,63.7,44.0,62.5,69.07,49.78,78.14,7783.59
1999,Nightingale,A,61.5,47.3,69.8,76.91,51.63,83.94,8373.01
1999,Nightingale,A,61.3,47.7,70.7,77.81,51.86,84.60,8449.18
1999,Nightingale,A,61.2,48.2,72.1,78.76,52.19,85.28,8558.16
1999,Nightingale,A,61.5,47.9,71.5,77.89,52.06,84.65,8514.92
1999,Nightingale,A,62.5,46.5,68.5,74.40,51.32,82.11,8273.21
1999,Nightingale,A,62.4,46.8,69.3,75.00,51.51,82.55,8335.55
1999,Nightingale,A,61.6,48.8,74.4,79.22,52.74,85.62,8738.36
1999,Nightingale,A,64.0,45.3,66.6,70.78,50.83,79.42,8117.10
1999,Nightingale,A,63.5,46.1,68.4,72.60,51.29,80.78,8265.46
1999,Nightingale,A,61.7,49.0,75.1,79.42,52.91,85.76,8795.65
1999,Nightingale,A,62.9,48.3,74.4,76.79,52.75,83.86,8740.03
1999,Nightingale,A,63.7,47.4,72.6,74.41,52.31,82.12,8595.69
1999,Nightingale,A,62.4,49.4,77.2,79.17,53.40,85.58,8958.64
1999,Nightingale,A,63.4,48.1,74.4,75.87,52.74,83.18,8737.81
1999,Nightingale,A,63.2,48.4,75.1,76.58,52.90,83.71,8792.01
1999,Nightingale,A,64.1,47.3,72.7,73.79,52.34,81.66,8607.36
1999,Nightingale,A,64.2,47.4,73.1,73.83,52.44,81.69,8640.61
1999,Nightingale,A,63.4,48.6,75.9,76.66,53.10,83.76,8859.13
1999,Nightingale,A,64.2,47.6,73.7,74.14,52.59,81.92,8689.25
1999,Nightingale,A,63.4,48.9,76.9,77.13,53.32,84.10,8932.12
1999,Nightingale,A,63.7,48.5,76.0,76.14,53.11,83.38,8862.68
1999,Nightingale,A,64.1,49.0,78.0,76.44,53.59,83.60,9022.29
1999,Nightingale,A,63.7,49.7,79.8,78.02,53.99,84.75,9156.26
1999,Nightingale,A,64.7,48.5,77.2,74.96,53.39,82.52,8955.19
1999,Nightingale,A,64.8,48.4,77.0,74.69,53.34,82.32,8939.78
1999,Nightingale,A,64.1,49.6,80.0,77.38,54.03,84.28,9169.89
1999,Nightingale,A,63.3,51.2,84.1,80.88,54.95,86.81,9486.64
1999,Nightingale,A,64.7,49.3,79.7,76.20,53.98,83.42,9152.69
1999,Nightingale,U,67.0,46.0,71.9,68.66,52.14,77.83,8541.68
1999,Nightingale,U,64.3,50.4,82.8,78.38,54.66,85.01,9387.10
1999,Nightingale,U,65.6,48.7,78.9,74.24,53.78,81.99,9087.78
1999,Nightingale,U,65.9,48.4,78.3,73.44,53.64,81.40,9040.67
1999,Nightingale,U,67.2,46.7,74.3,69.49,52.72,78.46,8732.77
1999,Nightingale,U,66.6,49.0,81.1,73.57,54.28,81.50,9255.38
1999,Nightingale,U,66.9,48.7,80.4,72.80,54.14,80.92,9207.45
1999,Nightingale,U,64.9,52.0,89.0,80.12,55.99,86.27,9847.31
1999,Nightingale,U,66.6,49.5,82.7,74.32,54.65,82.05,9381.51
1999,Nightingale,U,65.6,51.0,86.5,77.74,55.46,84.55,9664.50
1999,Nightingale,U,66.6,49.8,83.7,74.77,54.87,82.38,9457.40
1999,Nightingale,U,64.9,52.4,90.3,80.74,56.27,86.71,9948.43
1999,Nightingale,B,66.2,51.0,87.3,77.04,55.63,84.04,9723.34
1999,Nightingale,B,67.1,49.8,84.4,74.22,55.00,81.97,9504.68
1999,Nightingale,B,66.1,51.4,88.5,77.76,55.90,84.56,9815.26
1999,Nightingale,B,65.2,53.0,92.9,81.29,56.79,87.10,10131.71
1999,Nightingale,B,67.3,50.0,85.3,74.29,55.21,82.03,9574.58
1999,Nightingale,B,66.0,52.0,90.5,78.79,56.30,85.30,9958.26
1999,Nightingale,B,66.9,50.9,87.9,76.08,55.76,83.34,9766.17
1999,Nightingale,B,66.3,51.8,90.2,78.13,56.24,84.83,9937.23
1999,Nightingale,B,67.6,50.1,86.0,74.11,55.36,81.90,9628.63
1999,Nightingale,B,65.8,53.1,94.1,80.70,57.03,86.68,10219.43
1999,Nightingale,B,68.2,50.0,86.4,73.31,55.45,81.31,9659.76
1999,Nightingale,B,66.2,53.0,94.3,80.06,57.08,86.22,10235.04
1999,Nightingale,B,65.9,53.6,96.0,81.34,57.42,87.13,10358.41
1999,Nightingale,B,65.7,54.0,97.1,82.19,57.65,87.74,10440.43
1999,Nightingale,B,66.7,52.7,93.9,79.01,57.01,85.47,10208.95
1999,Nightingale,B,68.6,49.9,86.6,72.74,55.48,80.88,9671.64
1999,Nightingale,B,66.4,53.2,95.3,80.12,57.28,86.26,10307.28
1999,Nightingale,B,66.2,53.5,96.1,80.82,57.44,86.76,10363.99
1999,Nightingale,B,69.3,49.0,84.4,70.71,55.00,79.37,9503.86
1999,Nightingale,B,68.4,50.5,88.4,73.83,55.87,81.69,9807.89
1999,Nightingale,B,67.4,52.0,92.4,77.15,56.70,84.12,10098.59
1999,Nightingale,B,67.6,51.8,92.0,76.63,56.61,83.74,10066.71
1999,Nightingale,B,66.7,53.3,96.1,79.91,57.44,86.11,10364.22
1999,Nightingale,B,68.3,51.3,91.1,75.11,56.44,82.63,10005.84
1999,Nightingale,B,68.0,51.8,92.5,76.18,56.72,83.41,10106.38
1999,Nightingale,B,67.6,52.6,94.8,77.81,57.19,84.60,10274.53
